felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515
felipe,ferreira,nascimento,larissa,sena,pereira,luana,sena,pereira,berto,juvencio,pereira,0.151515